Complexity,Merge-Ordenado,Merge-Desordenado,Quick-Ordenado,Quick-Desordenado,Cycle-Ordenado,Cycle-Desordenado,Radix-Ordenado,Radix-Desordenado,Gnome-Ordenado,Gnome-Desordenado
838,0.000729,0.00064,0.005291,0.000435,0.001566,0.003667,0.00017,0.000165,0.000053,0.005857
844,0.000475,0.000634,0.005836,0.000417,0.001601,0.004083,0.000163,0.000168,0.000076,0.006222
850,0.000537,0.000631,0.005368,0.000354,0.001627,0.003515,0.000175,0.000167,0.000026,0.006853
856,0.00073,0.000638,0.004651,0.000361,0.001683,0.004059,0.000174,0.000169,0.000078,0.006563
862,0.000772,0.000632,0.004678,0.000457,0.001669,0.004335,0.000182,0.000169,0.000056,0.006656
868,0.000817,0.000641,0.004792,0.000434,0.001693,0.003652,0.000173,0.000172,0.000024,0.008626
874,0.000772,0.000646,0.004889,0.000399,0.001742,0.004065,0.000175,0.000172,0.000053,0.007393
880,0.000846,0.000647,0.005314,0.000387,0.001899,0.003844,0.00012,0.000174,0.000098,0.009165
886,0.000746,0.000733,0.00521,0.000351,0.001753,0.004005,0.000164,0.000174,0.000059,0.007001
892,0.001018,0.000704,0.005059,0.000396,0.001753,0.003962,0.000137,0.000176,0.000105,0.006535
898,0.000798,0.000705,0.005114,0.000417,0.001774,0.004276,0.000145,0.000236,0.000012,0.006749
904,0.000695,0.000721,0.005249,0.000471,0.001811,0.006476,0.000145,0.000191,0.00001,0.007315
910,0.000799,0.000891,0.005344,0.000418,0.002279,0.006675,0.000138,0.000182,0.000008,0.008483
916,0.000759,0.000737,0.006181,0.000459,0.001875,0.005349,0.000148,0.00018,0.000009,0.007674
922,0.00077,0.000732,0.006133,0.000379,0.002042,0.005092,0.00015,0.000191,0.000121,0.007331
928,0.000643,0.000738,0.00651,0.000389,0.001889,0.004159,0.000138,0.000196,0.00001,0.007318
934,0.000667,0.000744,0.006176,0.000491,0.001901,0.004276,0.000121,0.000196,0.000011,0.007414
940,0.000719,0.000761,0.005628,0.000505,0.001976,0.004338,0.000148,0.000188,0.000011,0.009737
946,0.000909,0.000973,0.006276,0.000521,0.002031,0.004367,0.000148,0.000193,0.00001,0.008039
952,0.000906,0.001429,0.007046,0.000389,0.002554,0.00458,0.000128,0.000195,0.00001,0.011649
958,0.000899,0.001447,0.006399,0.000471,0.002431,0.004559,0.000121,0.000193,0.000011,0.010872
